region;median_salary;surv_minimum
Белгородская область;25079.8;9126
Брянская область;22396.6;10575
Владимирская область;20962.9;10340
Воронежская область;24566;9232
Ивановская область;20764.9;10253
Калужская область;25209.4;10859
Костромская область;20954;10390
Курская область;23265;9818
Липецкая область;25075.3;9410
Московская область;36307.8;12694
Орловская область;20913.4;10123
Рязанская область;21490.9;10018
Смоленская область;21478.4;10833
Тамбовская область;22403.5;9682
Тверская область;22437.7;10725
Тульская область;23394.4;10531
Ярославская область;23183.9;10183
Москва;55004.2;17202
Республика Карелия;25476.1;13648
Республика Коми;27767.9;13707
Архангельская область;27970.4;12986
Вологодская область;22972.8;11038
Калининградская область;23376.4;11413
Ленинградская область;26119.8;10801
Мурманская область;36481.8;16800
Новгородская область;21446.6;10949
Псковская область;20790.9;11055
Санкт-Петербург;35581.2;11448
Республика Адыгея;21995.4;9315
Республика Калмыкия;15359.9;9888
Республика Крым;18554.2;10456
Краснодарский край;27148.7;10854
Астраханская область;20134.4;10345
Волгоградская область;19786.3;9686
Ростовская область;23419.2;10337
Севастополь;24340;11088
Республика Дагестан;21054.1;9780
Республика Ингушетия;13838.2;10173
Кабардино-Балкарская Республика;17782.7;11576
Карачаево-Черкесская Республика;15506.6;9897
Республика Северная Осетия - Алания;19614.9;9485
Чеченская Республика;19080.9;10910
Ставропольский край;19295.3;9235
Республика Башкортостан;22996.7;9517
Республика Марий Эл;16719.9;9583
Республика Мордовия;16192.1;9104
Республика Татарстан;27288.7;9213
Удмуртская Республика;20408.7;9732
Чувашская Республика;16659.9;9324
Пермский край;23313.1;10463
Кировская область;19521;10223
Нижегородская область;26031.6;10082
Оренбургская область;19334.9;9291
Пензенская область;18769.1;9337
Самарская область;23089.4;10492
Саратовская область;18187.1;9223
Ульяновская область;19251;10013
Курганская область;17345.5;10019
Свердловская область;29509.9;10735
Тюменская область;35047.7;13673
Ханты-Мансийский АО;40568.8;15054
Ямало-Ненецкий авт. округ;59578.7;16318
Челябинская область;20810.1;10150
Республика Алтай;16158.8;10122
Республика Тыва;13643.4;10556
Республика Хакасия;18758.6;10910
Алтайский край;18899.2;9964
Красноярский край;24527.1;12477
Иркутская область;21083.7;11434
Кемеровская область;20299.5;10066
Новосибирская область;24048.4;11361
Омская область;21117.9;9900
Томская область;22824.9;11465
Республика Бурятия;20083.5;11377
Республика Саха (Якутия);34313.8;17181
Забайкальский край;20647.2;12233
Камчатский край;41713.2;20499
Приморский край;28690.4;13142
Хабаровский край;32407;14328
Амурская область;25435.7;12155
Магаданская область;50658.8;19680
Сахалинская область;43604.2;14781
Еврейская авт. область;21995.3;14213
Чукотский авт. округ;62682.5;22213
